Target_Page_Milestone,Active_Student_Count,Mean_Class_Sequence_Count,Std_Dev,Variance
Page 3,14,1,0,0
Page 4,14,1.4286,1.0894,1.1868
Page 5,14,2.2143,1.4769,2.1813
Page 6,14,3.7857,3.2148,10.3352
Page 7,14,4.2857,3.2446,10.5275
Page 8,14,6.5714,3.5887,12.8791
Page 9,14,8.0714,3.8921,15.1484
Page 10,14,10.0714,5.5396,30.6868
Page 11,14,11.7857,7.5567,57.1044
Page 12,14,13.8571,6.9488,48.2857
Page 13,14,15.3571,7.6521,58.5549
Page 14,14,16.2143,8.0401,64.6429
Page 15,14,17,8.1807,66.9231
Page 16,14,19.0714,8.9569,80.2253
Page 17,14,20,9.1315,83.3846
Page 18,14,21.3571,9.3694,87.7857
Page 19,14,23.0714,9.9109,98.2253
Page 20,14,24.6429,10.2026,104.0934
Page 21,14,25.5,10.3236,106.5769
Page 22,14,25.5,10.3236,106.5769
Page 23,14,27.5714,8.3732,70.1099
Page 24,14,28.4286,8.2435,67.956
Page 25,14,30,8.4398,71.2308
Page 26,14,30.5714,8.1403,66.2637
Page 27,14,32,8.8056,77.5385
Page 28,14,34.5714,8.6444,74.7253
Page 29,14,36.4286,8.7944,77.3407
Page 30,14,37.3571,9.0605,82.0934
Page 31,14,40.7857,9.1246,83.2582
Page 32,14,42.3571,9.1198,83.1703
Page 33,13,44.3846,9.0879,82.5897
Page 34,13,46.3077,9.3129,86.7308
Page 35,13,48.5385,9.4129,88.6026
Page 36,13,50.7692,9.4442,89.1923
Page 37,13,53.6923,10.5703,111.7308
Page 38,11,56.1818,12.1887,148.5636
Page 39,9,59.2222,14.3246,205.1944
Page 40,9,61.5556,14.4145,207.7778
Page 41,9,63.2222,14.6097,213.4444
Page 42,9,64.8889,15.568,242.3611
Page 43,8,67.75,15.4157,237.6429
Page 44,8,69,15.748,248
Page 45,7,67.8571,15.8895,252.4762
Page 46,7,69.4286,15.894,252.619
Page 47,7,69.8571,16.3954,268.8095
Page 48,7,73.7143,14.0797,198.2381
Page 49,7,76.4286,15.7465,247.9524
Page 50,6,73.5,12.276,150.7
Page 51,6,77.8333,10.4579,109.3667
Page 52,6,78.6667,10.1719,103.4667
Page 53,6,79.8333,10.4579,109.3667
Page 54,6,81.1667,11.7544,138.1667
Page 55,6,82.1667,11.7544,138.1667
Page 56,6,84.3333,12.7854,163.4667
Page 57,6,85.5,12.227,149.5
Page 58,6,86.3333,12.8789,165.8667
Page 59,6,86.8333,12.8284,164.5667
Page 60,6,88.5,12.7711,163.1
Page 61,6,88.8333,12.7345,162.1667
Page 62,6,90.8333,13.1821,173.7667
Page 63,6,92,13.4015,179.6
Page 64,6,93,13.1909,174
Page 65,6,94.1667,13.4077,179.7667
Page 66,5,98.6,14.775,218.3
Page 67,5,100,14.1598,200.5
Page 68,5,102.4,14.3805,206.8
Page 69,5,104.6,15.093,227.8
Page 70,5,106,14.8324,220
Page 71,5,106.4,15.1592,229.8
Page 72,5,107.4,15.1756,230.3
Page 73,5,108.2,14.99,224.7
Page 74,4,116.25,6.8496,46.9167
Page 75,4,117.75,7.2744,52.9167
Page 76,4,119.5,7.1414,51
Page 77,4,121.75,7.2744,52.9167
Page 78,4,122.5,7.1414,51
Page 79,4,123.25,6.8981,47.5833
Page 80,2,121,9.8995,98
Page 81,2,123.5,9.1924,84.5
Page 82,2,123.5,9.1924,84.5
Page 83,1,119,0,0
