student_id,Talent_Orig,Talent_Std,Teacher_Influence_Orig,Teacher_Influence_Std,Effort_Orig,Effort_Std,Efficiency_Orig,Efficiency_Std,Avg_Practice_Hours_Per_Class
1,0.2439423963850196,0.894449015185299,-0.0027921851887408844,-0.011243469830617019,0.708686721045361,0.18750251674296103,0.6363194931831706,0.10682736313700843,2.9833333333333334
2,0.23266510939863688,-0.7677585961770721,-0.0035656516141578448,-0.03883521896359853,0.7145740804560547,0.1966267181264987,0.671840006503699,0.19500230620861536,1.7826086956521738
3,0.24170486731911103,0.36728352947758763,-0.0046305387720405895,-0.07682277517768377,0.5708839745943017,-0.026063518913067577,0.5488176353343033,-0.11038434393662576,1.853846153846154
4,0.24111619238433898,0.32073016464813314,-0.006850434548044391,-0.1560127766310023,0.6112722543536949,0.03653004338754731,0.5862356009862794,-0.017499228188268434,1.9523809523809523
5,0.2423394985144312,0.2968203327282513,-0.0020625894506716355,0.014783287003006455,0.6058923895798463,0.028192354758645906,0.6313063922399963,0.09438300777851888,2.0078125
6,0.23876759173992948,-0.04320777589674467,-0.00515033024548974,-0.09536521666651798,0.30725541653952093,-0.4346337940307006,0.45360512566809164,-0.3467367171066135,1.1666666666666667
7,0.24054633602373726,0.0895473060729365,-0.005224871672662865,-0.09802432156233369,0.5861125703152329,-0.00246231428916211,0.5814338891661879,-0.029418838205225693,1.576271186440678
8,0.24465903163181912,0.6207396926176617,-0.006841139812880073,-0.1556812069694322,0.61459193158558,0.041674863242956044,0.5432504818815667,-0.12420406085164715,1.576271186440678
9,0.23898327270122183,0.022975110601799978,0.003209326639121148,0.20284754088613516,0.45356587639752316,-0.20788254493290848,0.5226483737103407,-0.1753460502356541,1.5444444444444445
10,0.227486143543137,-1.4201152895663114,-0.0036548831117624277,-0.04201836048824668,0.7328773331056443,0.22499301131479738,0.7285784263634731,0.33584787608998273,3.0823529411764707
11,0.2334217679753369,-0.6290491145620076,-0.0028674353839254416,-0.013927858498969228,0.46278050789107167,-0.19360175323034784,0.5537396275374025,-0.09816615388990865,2.9651162790697674
12,0.23951067396573864,0.09657530860002422,0.004178788819477087,0.23743101651647594,0.6136772944318449,0.040257362967979396,0.6034819414185318,0.025312514763896683,1.721311475409836
13,0.24076906011915297,0.2845346650776367,0.003656694226739893,0.21880641620661115,0.694717629717392,0.16585328598767352,0.617610404877151,0.06038454342270118,2.86046511627907
14,0.215250807145787,-2.6250053226837835,0.004568179059972559,0.2513216748275857,0.6829493145799019,0.14761480761919485,0.778069253088492,0.4587022613762254,3.085714285714286
